ethnicity,certified
African American,9/28/2016
African American,9/27/2019
African American,9/27/2019
Caucasian,9/26/2019
Asian American,9/26/2019
Hispanic American,9/26/2019
Hispanic American,9/26/2018
Hispanic American,9/26/2018
Hispanic American,9/25/2020
Asian American,9/25/2020
Hispanic American,9/25/2020
Caucasian,9/25/2020
Hispanic American,9/25/2020
Hispanic American,9/25/2020
African American,9/25/2019
Hispanic American,9/25/2019
African American,9/25/2019
African American,9/25/2017
Hispanic American,9/25/2013
African American,9/24/2020
African American,9/24/2020
African American,9/24/2020
African American,9/24/2020
Asian American,9/24/2020
Asian American,9/24/2020
African American,9/24/2020
Asian American,9/24/2020
African American,9/24/2019
Asian American,9/24/2018
African American,9/24/2018
African American,9/24/2018
Asian American,9/23/2020
Hispanic American,9/23/2020
Hispanic American,9/23/2020
Caucasian,9/23/2020
Hispanic American,9/23/2020
African American,9/23/2020
Caucasian,9/23/2020
Asian American,9/23/2019
African American,9/23/2015
Hispanic American,9/22/2020
Hispanic American,9/22/2020
African American,9/22/2020
Caucasian,9/22/2020
Hispanic American,9/22/2020
African American,9/22/2020
Caucasian,9/22/2020
African American,9/22/2020
Hispanic American,9/22/2020
African American,9/22/2020
African American,9/22/2020
African American,9/22/2020
African American,9/22/2020
African American,9/22/2016
Hispanic American,9/21/2020
African American,9/21/2020
African American,9/21/2020
African American,9/21/2020
Asian American,9/21/2018
Hispanic American,9/21/2018
Caucasian,9/21/2018
Caucasian,9/20/2020
Caucasian,9/20/2020
Caucasian,9/20/2020
Caucasian,9/20/2020
Hispanic American,9/20/2020
Caucasian,9/20/2017
Hispanic American,9/2/2020
African American,9/2/2020
African American,9/2/2020
Caucasian,9/2/2020
African American,9/2/2020
African American,9/2/2020
African American,9/2/2020
African American,9/2/2020
African American,9/2/2020
Hispanic American,9/2/2020
African American,9/2/2020
African American,9/2/2020
Caucasian,9/2/2020
Hispanic American,9/2/2020
Asian American,9/2/2020
African American,9/2/2020
African American,9/2/2020
Hispanic American,9/2/2020
Asian American,9/2/2020
Asian American,9/2/2020
Asian American,9/2/2020
African American,9/2/2020
African American,9/2/2020
Asian American,9/2/2020
African American,9/2/2020
African American,9/2/2020
African American,9/2/2020
Hispanic American,9/2/2020
African American,9/2/2020
Hispanic American,9/2/2020
Hispanic American,9/2/2020
Hispanic American,9/2/2020
African American,9/2/2020
Caucasian,9/2/2020
Hispanic American,9/2/2020
African American,9/2/2020
African American,9/2/2016
Hispanic American,9/19/2018
African American,9/19/2016
Caucasian,9/18/2020
African American,9/18/2020
African American,9/18/2020
African American,9/18/2020
African American,9/17/2020
African American,9/17/2020
Caucasian,9/17/2020
African American,9/17/2020
Asian American,9/17/2020
Asian American,9/17/2020
Caucasian,9/17/2020
Asian American,9/17/2020
Asian American,9/17/2020
Asian American,9/17/2020
Hispanic American,9/17/2020
Asian American,9/17/2020
Asian American,9/17/2020
Asian American,9/17/2020
Hispanic American,9/17/2020
Asian American,9/17/2020
Caucasian,9/17/2020
Hispanic American,9/17/2020
Caucasian,9/17/2019
African American,9/17/2019
Caucasian,9/17/2019
Caucasian,9/17/2018
African American,9/17/2018
Caucasian,9/16/2020
Caucasian,9/16/2020
African American,9/16/2020
African American,9/16/2020
African American,9/16/2019
Caucasian,9/16/2016
African American,9/16/2016
Caucasian,9/16/2016
Hispanic American,9/15/2020
Hispanic American,9/15/2020
African American,9/15/2020
African American,9/15/2020
Caucasian,9/15/2020
Asian American,9/15/2020
African American,9/15/2020
African American,9/15/2020
African American,9/15/2020
Hispanic American,9/15/2020
African American,9/15/2020
Asian American,9/15/2020
African American,9/15/2020
African American,9/15/2020
Caucasian,9/15/2020
African American,9/15/2020
Asian American,9/15/2020
African American,9/15/2020
Asian American,9/15/2020
African American,9/15/2020
African American,9/15/2020
African American,9/15/2020
Hispanic American,9/15/2020
African American,9/14/2020
African American,9/14/2020
African American,9/14/2020
African American,9/14/2020
African American,9/14/2020
African American,9/14/2017
African American,9/14/2017
African American,9/14/2016
Asian American,9/13/2018
Asian American,9/13/2018
African American,9/13/2017
Caucasian,9/13/2016
Hispanic American,9/13/2016
African American,9/12/2019
African American,9/12/2019
Caucasian,9/11/2020
African American,9/11/2020
African American,9/11/2020
Hispanic American,9/11/2020
Hispanic American,9/11/2020
African American,9/11/2020
African American,9/11/2020
African American,9/11/2020
African American,9/11/2020
Caucasian,9/11/2020
Hispanic American,9/11/2020
African American,9/11/2020
African American,9/11/2020
Asian American,9/11/2020
Caucasian,9/11/2020
Asian American,9/11/2018
Hispanic American,9/11/2015
Caucasian,9/11/2013
African American,9/10/2020
African American,9/10/2020
African American,9/10/2020
African American,9/10/2020
African American,9/10/2020
Caucasian,9/10/2020
Hispanic American,9/10/2020
African American,9/10/2020
African American,9/1/2020
African American,9/1/2020
Hispanic American,9/1/2020
Hispanic American,9/1/2020
Hispanic American,9/1/2020
Caucasian,9/1/2020
African American,9/1/2020
Caucasian,9/1/2020
Asian American,9/1/2020
Hispanic American,9/1/2020
Hispanic American,9/1/2020
African American,9/1/2020
Asian American,9/1/2020
Hispanic American,9/1/2020
African American,9/1/2018
African American,9/1/2017
Hispanic American,9/1/2017
Hispanic American,9/1/2017
African American,9/1/2017
Caucasian,9/1/2016
African American,9/1/2016
African American,9/1/2016
African American,9/1/2016
Caucasian,9/1/2012
African American,8/9/2019
Hispanic American,8/8/2018
African American,8/8/2017
Hispanic American,8/8/2017
African American,8/8/2017
Caucasian,8/8/2017
Caucasian,8/8/2017
Hispanic American,8/8/2017
Hispanic American,8/8/2017
Hispanic American,8/7/2020
Caucasian,8/7/2020
African American,8/7/2020
African American,8/7/2020
Asian American,8/7/2020
Hispanic American,8/7/2020
Hispanic American,8/7/2020
African American,8/7/2020
Hispanic American,8/7/2020
African American,8/7/2020
Hispanic American,8/7/2020
African American,8/7/2020
Hispanic American,8/7/2019
Hispanic American,8/7/2019
African American,8/7/2018
African American,8/7/2018
African American,8/6/2020
African American,8/6/2020
Caucasian,8/6/2020
African American,8/6/2020
Caucasian,8/6/2020
African American,8/6/2020
Asian American,8/6/2020
Asian American,8/6/2020
African American,8/6/2020
Caucasian,8/6/2020
Asian American,8/6/2020
African American,8/5/2020
Hispanic American,8/5/2020
Hispanic American,8/5/2020
Caucasian,8/5/2020
Caucasian,8/5/2020
African American,8/5/2020
Asian American,8/5/2020
Caucasian,8/5/2020
African American,8/5/2020
African American,8/5/2020
African American,8/5/2020
Asian American,8/5/2020
Asian American,8/5/2020
Caucasian,8/5/2020
Asian American,8/5/2020
African American,8/5/2020
Asian American,8/5/2020
Asian American,8/5/2020
Asian American,8/5/2016
African American,8/5/2016
African American,8/5/2016
African American,8/4/2020
African American,8/4/2020
Caucasian,8/4/2020
African American,8/4/2020
Hispanic American,8/4/2020
African American,8/4/2020
Caucasian,8/4/2020
Hispanic American,8/4/2020
Caucasian,8/4/2020
African American,8/4/2020
Hispanic American,8/4/2020
Hispanic American,8/4/2020
African American,8/4/2017
African American,8/4/2017
African American,8/4/2016
Caucasian,8/4/2016
African American,8/4/2016
Caucasian,8/4/2016
African American,8/31/2020
African American,8/31/2020
African American,8/31/2020
Asian American,8/31/2020
African American,8/31/2020
Hispanic American,8/31/2020
Caucasian,8/31/2020
African American,8/31/2020
Caucasian,8/31/2016
Caucasian,8/30/2019
Asian American,8/30/2019
Hispanic American,8/30/2018
Caucasian,8/3/2020
Hispanic American,8/3/2020
Hispanic American,8/3/2020
Asian American,8/3/2017
African American,8/29/2020
African American,8/29/2019
Caucasian,8/29/2019
African American,8/29/2019
African American,8/29/2017
Caucasian,8/28/2020
Caucasian,8/28/2020
Hispanic American,8/28/2020
African American,8/28/2020
Hispanic American,8/28/2020
Hispanic American,8/28/2020
Asian American,8/28/2020
Caucasian,8/28/2020
Asian American,8/28/2020
Asian American,8/28/2020
Hispanic American,8/28/2020
Caucasian,8/28/2020
Hispanic American,8/28/2020
Hispanic American,8/28/2020
African American,8/28/2020
Asian American,8/28/2020
Asian American,8/28/2020
Caucasian,8/28/2020
Caucasian,8/28/2019
African American,8/28/2019
Hispanic American,8/28/2018
African American,8/28/2018
African American,8/28/2018
Caucasian,8/28/2018
African American,8/28/2017
African American,8/27/2020
Caucasian,8/27/2020
Hispanic American,8/27/2020
African American,8/27/2020
Hispanic American,8/27/2020
African American,8/27/2020
African American,8/27/2020
Caucasian,8/27/2020
African American,8/27/2020
African American,8/27/2018
Caucasian,8/27/2018
African American,8/27/2018
African American,8/27/2018
African American,8/27/2018
African American,8/26/2020
African American,8/26/2020
Asian American,8/26/2020
African American,8/26/2020
Caucasian,8/26/2020
African American,8/26/2019
African American,8/26/2019
Hispanic American,8/26/2016
Caucasian,8/26/2015
Asian American,8/25/2020
Asian American,8/25/2020
Asian American,8/25/2020
Caucasian,8/25/2020
African American,8/25/2020
African American,8/25/2020
African American,8/25/2020
African American,8/25/2020
African American,8/25/2020
African American,8/25/2020
Hispanic American,8/25/2020
African American,8/25/2020
African American,8/25/2020
Asian American,8/25/2020
Caucasian,8/25/2020
African American,8/25/2020
Hispanic American,8/25/2020
African American,8/25/2020
Asian American,8/25/2020
Caucasian,8/25/2020
Caucasian,8/25/2020
Hispanic American,8/25/2020
Caucasian,8/25/2020
Hispanic American,8/25/2020
Caucasian,8/25/2016
Asian American,8/25/2014
Caucasian,8/25/2014
Asian American,8/24/2020
Asian American,8/24/2020
Hispanic American,8/24/2020
African American,8/24/2020
Asian American,8/24/2020
Hispanic American,8/24/2019
African American,8/24/2017
Caucasian,8/24/2016
Hispanic American,8/22/2019
Caucasian,8/22/2019
Caucasian,8/22/2019
Hispanic American,8/22/2019
Caucasian,8/22/2018
Caucasian,8/22/2018
African American,8/21/2020
Caucasian,8/21/2020
Hispanic American,8/21/2019
African American,8/21/2018
African American,8/21/2018
Caucasian,8/21/2017
Hispanic American,8/20/2020
African American,8/20/2020
Caucasian,8/20/2020
Hispanic American,8/20/2020
Caucasian,8/20/2020
Hispanic American,8/20/2020
African American,8/20/2020
Asian American,8/20/2020
African American,8/20/2019
Hispanic American,8/20/2019
African American,8/20/2019
Hispanic American,8/20/2019
Asian American,8/2/2016
African American,8/19/2020
Asian American,8/19/2020
African American,8/19/2020
Asian American,8/19/2020
African American,8/19/2020
Hispanic American,8/19/2020
Caucasian,8/19/2020
Caucasian,8/19/2020
African American,8/19/2020
Caucasian,8/19/2020
African American,8/19/2020
Caucasian,8/19/2020
Hispanic American,8/19/2020
Hispanic American,8/19/2020
Hispanic American,8/19/2020
African American,8/19/2019
African American,8/19/2019
African American,8/19/2019
Caucasian,8/19/2019
African American,8/19/2019
African American,8/19/2019
Asian American,8/18/2020
Hispanic American,8/18/2020
Asian American,8/18/2020
African American,8/18/2020
Asian American,8/18/2020
African American,8/18/2020
Caucasian,8/18/2015
African American,8/17/2020
Asian American,8/17/2020
Asian American,8/17/2020
Hispanic American,8/17/2020
Hispanic American,8/17/2020
African American,8/17/2020
Caucasian,8/17/2020
African American,8/17/2020
African American,8/17/2020
Caucasian,8/17/2020
Caucasian,8/17/2020
Caucasian,8/17/2020
Asian American,8/17/2020
Hispanic American,8/17/2020
Caucasian,8/17/2020
Hispanic American,8/17/2020
African American,8/17/2020
African American,8/17/2020
African American,8/17/2020
African American,8/17/2020
Hispanic American,8/17/2020
Hispanic American,8/17/2020
Caucasian,8/17/2016
Hispanic American,8/16/2017
Hispanic American,8/16/2017
African American,8/16/2016
African American,8/16/2016
Asian American,8/16/2016
Caucasian,8/15/2020
Hispanic American,8/15/2019
Caucasian,8/15/2017
Caucasian,8/14/2020
Caucasian,8/14/2020
Caucasian,8/14/2020
Asian American,8/14/2020
Asian American,8/14/2020
Hispanic American,8/14/2020
Hispanic American,8/14/2018
Hispanic American,8/14/2018
Hispanic American,8/14/2018
Hispanic American,8/14/2018
Asian American,8/13/2020
African American,8/13/2020
African American,8/13/2020
African American,8/13/2020
Caucasian,8/13/2020
Caucasian,8/13/2020
Asian American,8/13/2020
Asian American,8/13/2020
African American,8/13/2020
African American,8/13/2020
African American,8/13/2020
African American,8/13/2020
Asian American,8/13/2020
Hispanic American,8/13/2020
Hispanic American,8/13/2020
Hispanic American,8/13/2020
Caucasian,8/13/2020
African American,8/13/2019
African American,8/12/2020
African American,8/12/2020
Asian American,8/12/2019
Caucasian,8/12/2019
Asian American,8/12/2019
Caucasian,8/12/2016
African American,8/11/2020
African American,8/11/2020
African American,8/11/2020
Caucasian,8/11/2020
African American,8/11/2020
African American,8/11/2020
Hispanic American,8/11/2020
African American,8/11/2020
Hispanic American,8/11/2020
African American,8/11/2020
African American,8/11/2020
African American,8/11/2020
Caucasian,8/11/2020
Hispanic American,8/11/2020
Caucasian,8/11/2020
African American,8/11/2020
Caucasian,8/11/2016
African American,8/10/2020
Asian American,8/10/2020
African American,8/10/2020
Asian American,8/10/2020
Caucasian,8/10/2020
Caucasian,8/10/2020
African American,8/10/2020
African American,8/10/2020
African American,8/10/2020
African American,8/10/2020
Caucasian,8/10/2018
Hispanic American,8/10/2017
African American,8/10/2016
Hispanic American,8/1/2018
African American,8/1/2018
Asian American,7/9/2020
Hispanic American,7/9/2020
Hispanic American,7/9/2020
Caucasian,7/9/2020
African American,7/9/2020
Hispanic American,7/9/2020
Asian American,7/9/2020
Asian American,7/9/2020
African American,7/9/2020
African American,7/9/2020
African American,7/9/2020
Caucasian,7/9/2020
African American,7/9/2020
African American,7/9/2020
Caucasian,7/9/2020
African American,7/9/2020
Caucasian,7/9/2020
African American,7/9/2020
African American,7/9/2020
Caucasian,7/9/2018
African American,7/9/2018
African American,7/9/2018
Hispanic American,7/8/2020
African American,7/8/2020
Hispanic American,7/8/2020
African American,7/8/2020
African American,7/8/2020
Hispanic American,7/8/2020
Caucasian,7/8/2020
Caucasian,7/8/2020
Caucasian,7/8/2019
Hispanic American,7/7/2020
African American,7/7/2020
African American,7/7/2020
Hispanic American,7/7/2020
Asian American,7/7/2020
African American,7/7/2020
Caucasian,7/7/2017
Hispanic American,7/7/2017
Hispanic American,7/7/2017
African American,7/7/2017
African American,7/7/2017
Asian American,7/7/2017
African American,7/6/2020
Caucasian,7/6/2020
African American,7/6/2020
African American,7/6/2020
Hispanic American,7/6/2020
Hispanic American,7/6/2020
African American,7/6/2020
Hispanic American,7/6/2020
African American,7/6/2020
African American,7/6/2020
African American,7/6/2020
African American,7/6/2020
Hispanic American,7/6/2020
Hispanic American,7/6/2020
African American,7/6/2020
African American,7/6/2020
Caucasian,7/6/2020
Caucasian,7/6/2020
Caucasian,7/6/2020
Asian American,7/6/2017
Asian American,7/6/2016
Hispanic American,7/5/2019
Hispanic American,7/5/2018
African American,7/5/2016
African American,7/31/2020
African American,7/31/2020
African American,7/31/2020
African American,7/31/2020
African American,7/31/2020
Caucasian,7/31/2020
African American,7/31/2020
African American,7/31/2020
African American,7/31/2020
Caucasian,7/31/2020
Asian Indian,7/31/2019
African American,7/31/2018
Caucasian,7/31/2017
African American,7/30/2020
Caucasian,7/30/2020
African American,7/30/2020
Caucasian,7/30/2020
Asian American,7/30/2020
African American,7/30/2020
Hispanic American,7/30/2020
African American,7/30/2020
Hispanic American,7/30/2020
Caucasian,7/30/2020
Caucasian,7/30/2020
Hispanic American,7/30/2020
African American,7/30/2020
African American,7/30/2020
African American,7/30/2020
Caucasian,7/30/2020
Hispanic American,7/30/2020
Asian American,7/30/2020
Asian American,7/30/2020
African American,7/30/2020
African American,7/30/2019
African American,7/30/2019
Hispanic American,7/30/2019
African American,7/30/2018
Hispanic American,7/30/2018
Caucasian,7/30/2018
African American,7/3/2018
Caucasian,7/29/2020
Asian American,7/29/2020
Asian American,7/29/2020
Hispanic American,7/29/2020
Hispanic American,7/29/2020
African American,7/29/2020
African American,7/29/2020
African American,7/29/2020
Caucasian,7/29/2020
Hispanic American,7/29/2020
Asian American,7/29/2020
Asian American,7/29/2020
African American,7/29/2019
Caucasian,7/29/2019
Caucasian,7/29/2019
African American,7/29/2019
African American,7/29/2016
Caucasian,7/28/2020
Caucasian,7/28/2020
Caucasian,7/28/2020
Caucasian,7/28/2020
African American,7/28/2020
African American,7/28/2020
Caucasian,7/28/2020
African American,7/28/2020
African American,7/28/2020
Caucasian,7/28/2020
African American,7/28/2020
Caucasian,7/28/2020
African American,7/28/2020
African American,7/28/2020
African American,7/28/2020
African American,7/28/2020
Asian American,7/28/2020
African American,7/28/2020
African American,7/28/2020
African American,7/28/2020
African American,7/28/2020
Asian American,7/28/2020
Caucasian,7/28/2020
African American,7/28/2020
Asian American,7/28/2020
Hispanic American,7/28/2020
Caucasian,7/28/2020
Asian American,7/28/2020
Asian American,7/28/2020
Hispanic American,7/28/2020
Hispanic American,7/28/2020
African American,7/28/2020
Asian American,7/28/2020
African American,7/28/2020
Asian American,7/28/2020
Hispanic American,7/28/2020
Hispanic American,7/28/2017
Asian American,7/28/2016
African American,7/28/2016
Asian American,7/28/2016
African American,7/27/2020
Caucasian,7/27/2020
African American,7/27/2020
Caucasian,7/27/2020
African American,7/27/2020
Caucasian,7/27/2020
African American,7/27/2020
African American,7/27/2020
African American,7/27/2020
African American,7/27/2020
Caucasian,7/27/2020
Caucasian,7/27/2020
African American,7/27/2020
Caucasian,7/27/2016
Caucasian,7/27/2015
African American,7/26/2019
African American,7/26/2019
African American,7/26/2019
African American,7/26/2019
African American,7/26/2017
Hispanic American,7/25/2019
Caucasian,7/25/2016
Caucasian,7/25/2006
Hispanic American,7/24/2020
African American,7/24/2020
Caucasian,7/24/2020
Caucasian,7/24/2020
African American,7/24/2020
African American,7/24/2020
Hispanic American,7/24/2020
Hispanic American,7/24/2020
African American,7/24/2020
Hispanic American,7/24/2020
Hispanic American,7/24/2020
African American,7/24/2020
Caucasian,7/24/2020
Caucasian,7/24/2020
African American,7/24/2020
Hispanic American,7/24/2020
Hispanic American,7/24/2020
Hispanic American,7/24/2020
African American,7/24/2020
African American,7/24/2020
Hispanic American,7/24/2020
African American,7/24/2020
African American,7/24/2020
African American,7/24/2020
African American,7/24/2020
Asian American,7/24/2020
African American,7/24/2020
African American,7/24/2020
Hispanic American,7/24/2020
Hispanic American,7/24/2020
African American,7/24/2020
African American,7/24/2020
Hispanic American,7/24/2020
Hispanic American,7/24/2019
Caucasian,7/24/2019
Hispanic American,7/23/2020
Caucasian,7/23/2020
African American,7/23/2020
African American,7/23/2020
Hispanic American,7/23/2020
Caucasian,7/23/2020
Caucasian,7/23/2020
Hispanic American,7/23/2020
Caucasian,7/23/2020
Asian American,7/23/2020
Asian American,7/23/2020
African American,7/23/2020
Hispanic American,7/23/2020
Asian American,7/23/2020
African American,7/23/2020
African American,7/23/2020
African American,7/23/2020
Asian American,7/23/2019
Caucasian,7/23/2018
Hispanic American,7/23/2015
Hispanic American,7/22/2020
Caucasian,7/22/2020
African American,7/22/2020
Caucasian,7/22/2020
Caucasian,7/22/2020
Asian American,7/21/2020
Hispanic American,7/21/2020
African American,7/21/2016
Caucasian,7/20/2020
Caucasian,7/20/2020
African American,7/2/2020
Caucasian,7/2/2020
African American,7/2/2020
Hispanic American,7/2/2020
African American,7/2/2020
Caucasian,7/2/2020
Caucasian,7/2/2020
Hispanic American,7/2/2020
Asian Indian,7/2/2020
Caucasian,7/2/2020
African American,7/2/2020
Hispanic American,7/2/2020
Hispanic American,7/2/2020
Caucasian,7/2/2020
Hispanic American,7/2/2020
Hispanic American,7/2/2020
African American,7/2/2020
African American,7/18/2018
African American,7/18/2018
African American,7/18/2017
African American,7/18/2017
African American,7/17/2020
African American,7/17/2020
African American,7/17/2020
African American,7/17/2020
African American,7/17/2020
Hispanic American,7/17/2020
Caucasian,7/17/2020
Hispanic American,7/17/2020
Caucasian,7/17/2020
Caucasian,7/17/2020
Caucasian,7/17/2020
Hispanic American,7/17/2020
Asian American,7/17/2020
Caucasian,7/17/2019
African American,7/17/2018
African American,7/17/2017
Caucasian,7/17/2017
Caucasian,7/16/2020
Caucasian,7/16/2020
Asian American,7/16/2020
African American,7/16/2020
African American,7/16/2020
African American,7/16/2020
African American,7/16/2020
African American,7/16/2020
Hispanic American,7/16/2020
Caucasian,7/16/2020
African American,7/16/2020
African American,7/16/2020
African American,7/16/2020
Hispanic American,7/16/2020
Hispanic American,7/16/2020
African American,7/16/2020
Asian American,7/16/2018
Asian American,7/16/2018
African American,7/15/2020
Caucasian,7/15/2020
African American,7/15/2020
African American,7/15/2020
African American,7/15/2020
African American,7/15/2020
African American,7/15/2020
African American,7/15/2020
African American,7/15/2020
African American,7/15/2020
African American,7/15/2020
Hispanic American,7/15/2020
Hispanic American,7/15/2020
African American,7/15/2020
African American,7/15/2020
African American,7/15/2020
African American,7/15/2020
Asian American,7/15/2016
Asian American,7/15/2016
Hispanic American,7/15/2016
African American,7/15/2016
Caucasian,7/15/2016
Hispanic American,7/14/2020
African American,7/14/2020
African American,7/14/2020
Hispanic American,7/14/2020
Hispanic American,7/14/2020
Asian American,7/14/2020
Hispanic American,7/14/2020
African American,7/14/2020
Hispanic American,7/14/2020
African American,7/14/2020
Hispanic American,7/14/2020
African American,7/14/2020
African American,7/14/2020
Hispanic American,7/14/2020
Asian American,7/14/2017
Caucasian,7/14/2015
African American,7/13/2020
Hispanic American,7/13/2020
African American,7/13/2020
Asian American,7/13/2020
African American,7/13/2020
Asian American,7/13/2020
Hispanic American,7/13/2020
Asian American,7/13/2020
Asian American,7/13/2020
Asian American,7/13/2020
African American,7/13/2020
Hispanic American,7/13/2020
Hispanic American,7/13/2020
Asian American,7/13/2020
Hispanic American,7/13/2020
African American,7/13/2017
African American,7/13/2015
Hispanic American,7/12/2020
Hispanic American,7/12/2020
Asian American,7/12/2020
Hispanic American,7/12/2020
African American,7/12/2020
Hispanic American,7/12/2016
Hispanic American,7/12/2016
Hispanic American,7/11/2017
Hispanic American,7/11/2017
African American,7/11/2017
Hispanic American,7/11/2017
African American,7/11/2017
African American,7/10/2020
Caucasian,7/10/2020
African American,7/10/2020
Caucasian,7/10/2020
Hispanic American,7/10/2020
Hispanic American,7/10/2020
African American,7/10/2020
Asian American,7/10/2020
Caucasian,7/10/2020
Asian American,7/10/2020
Hispanic American,7/10/2019
African American,7/10/2018
African American,7/10/2018
Hispanic American,7/1/2020
Asian American,7/1/2020
Hispanic American,7/1/2020
Caucasian,7/1/2020
Hispanic American,7/1/2020
Asian American,7/1/2020
Asian American,7/1/2020
Hispanic American,7/1/2019
Hispanic American,7/1/2016
Caucasian,7/1/2015
African American,6/9/2020
African American,6/9/2020
Caucasian,6/9/2020
Hispanic American,6/9/2020
Hispanic American,6/9/2020
Hispanic American,6/9/2020
Caucasian,6/9/2020
African American,6/9/2020
Caucasian,6/9/2020
Caucasian,6/9/2020
African American,6/9/2020
Hispanic American,6/9/2020
African American,6/9/2020
African American,6/9/2020
African American,6/9/2020
African American,6/9/2020
African American,6/9/2020
African American,6/9/2020
African American,6/9/2020
Hispanic American,6/9/2015
Hispanic American,6/9/2015
African American,6/8/2020
African American,6/8/2020
Caucasian,6/8/2020
African American,6/8/2020
African American,6/8/2020
Caucasian,6/8/2020
African American,6/8/2020
Hispanic American,6/8/2020
African American,6/8/2020
African American,6/8/2020
Caucasian,6/8/2020
African American,6/8/2018
Asian American,6/7/2019
Hispanic American,6/7/2017
African American,6/6/2019
African American,6/6/2018
Hispanic American,6/5/2020
Hispanic American,6/5/2020
Caucasian,6/5/2020
African American,6/5/2020
African American,6/5/2020
Asian American,6/5/2020
African American,6/5/2020
Caucasian,6/5/2020
African American,6/5/2020
Caucasian,6/5/2020
Hispanic American,6/5/2020
African American,6/5/2020
Hispanic American,6/5/2019
Asian American,6/5/2019
Hispanic American,6/5/2019
African American,6/4/2020
African American,6/4/2020
African American,6/4/2020
African American,6/4/2020
African American,6/4/2020
African American,6/4/2020
African American,6/4/2020
Caucasian,6/4/2020
African American,6/4/2020
Hispanic American,6/4/2020
African American,6/4/2020
Asian American,6/4/2020
African American,6/4/2020
Hispanic American,6/4/2020
Asian American,6/4/2020
Asian American,6/4/2020
African American,6/4/2020
Asian American,6/4/2020
Caucasian,6/4/2020
African American,6/4/2020
African American,6/4/2020
African American,6/4/2020
African American,6/4/2020
Hispanic American,6/4/2020
Hispanic American,6/4/2020
Hispanic American,6/4/2020
Asian American,6/4/2020
Asian American,6/4/2020
Hispanic American,6/4/2019
Caucasian,6/4/2015
African American,6/4/2015
African American,6/30/2020
African American,6/30/2020
Hispanic American,6/30/2020
Caucasian,6/30/2020
Hispanic American,6/30/2020
Hispanic American,6/30/2020
Hispanic American,6/30/2020
Caucasian,6/30/2020
African American,6/30/2020
African American,6/30/2020
African American,6/30/2020
Caucasian,6/30/2020
African American,6/30/2020
Hispanic American,6/30/2020
Asian American,6/30/2020
African American,6/30/2020
African American,6/30/2020
African American,6/30/2020
Hispanic American,6/30/2020
African American,6/30/2020
Hispanic American,6/30/2020
Hispanic American,6/30/2020
African American,6/30/2020
Caucasian,6/30/2020
African American,6/30/2020
African American,6/30/2020
Hispanic American,6/30/2020
Caucasian,6/30/2017
African American,6/30/2015
Caucasian,6/3/2020
African American,6/3/2019
African American,6/3/2019
Hispanic American,6/3/2016
Caucasian,6/29/2020
Caucasian,6/29/2020
African American,6/29/2020
Caucasian,6/29/2020
Caucasian,6/29/2020
Asian American,6/29/2020
Hispanic American,6/29/2020
Hispanic American,6/29/2020
African American,6/29/2016
Hispanic American,6/29/2016
African American,6/29/2016
Hispanic American,6/29/2016
African American,6/29/2015
African American,6/28/2019
Caucasian,6/27/2019
Caucasian,6/27/2019
Hispanic American,6/27/2019
Caucasian,6/27/2019
Hispanic American,6/27/2019
Caucasian,6/27/2019
Hispanic American,6/27/2018
Hispanic American,6/27/2018
African American,6/27/2018
Asian American,6/27/2017
