company_name,city,state,zip,agency,certification_type,ethnicity,gender,capability,company_name-2,city-2,state-2,zip-2,agency-2,certification_type-2,ethnicity-2,capability-2,company_name-3,city-3,state-3,zip-3,agency-3,certification_type-3,capability-3
5366 Logistics Corp,Richmond,IL,"	60071",CMS,SDVOSB,Caucasian,Male,"NIGP 75077 Sand and Gravel ; NIGP 91371 Maintenance and Repair, Highway and Road (To include the removal of asphalt, concrete, bitumens, etc) ; NIGP 96239 Hauling Services ; NIGP 96256 Moving and Relocation Services ; NIGP 96712 Aggregate, Concrete or Stone Products (Including Clay, Refractory Materials and Tile Products); 745-10-00 Asphalt, Emulsified (With Latex/Polymer) ; 745-14-00 Asphaltic Concrete, Cold Laid ; 745-21-00 Asphaltic Concrete, Hot Laid Including Bituminous Materials ; 745-68-00 Recycled Asphalt and Asphalt Products; 545-26-60	PRESSURE WASHER, HOT WATER; Active NIGP 07519 Cleaning and Washing Equipment: Steam, Cold and Hot Water Pressure and Jet Types, Portable and Stationary (Also See 075-49); Active NIGP 77545 Road Maintenance Salt (See Class 192 for Ice Removal Chemicals); ; 91395 Paving/Resurfacing, Highway and Road  ; ",5366 Logistics Corp,Richmond,IL,60071,Chicago,BEPD,Hispanic/Latino,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload",5366 Logistics Corp,Richmond,IL,60071,Chicago,BEPD,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload"
5366 Logistics Corp,Richmond,IL,"	60071",CMS,PBE,Caucasian,Male,"NIGP 75077 Sand and Gravel ; NIGP 91371 Maintenance and Repair, Highway and Road (To include the removal of asphalt, concrete, bitumens, etc) ; NIGP 96239 Hauling Services ; NIGP 96256 Moving and Relocation Services ; NIGP 96712 Aggregate, Concrete or Stone Products (Including Clay, Refractory Materials and Tile Products); 745-10-00 Asphalt, Emulsified (With Latex/Polymer) ; 745-14-00 Asphaltic Concrete, Cold Laid ; 745-21-00 Asphaltic Concrete, Hot Laid Including Bituminous Materials ; 745-68-00 Recycled Asphalt and Asphalt Products; 545-26-60	PRESSURE WASHER, HOT WATER; Active NIGP 07519 Cleaning and Washing Equipment: Steam, Cold and Hot Water Pressure and Jet Types, Portable and Stationary (Also See 075-49); Active NIGP 77545 Road Maintenance Salt (See Class 192 for Ice Removal Chemicals); ; 91395 Paving/Resurfacing, Highway and Road  ; ",5366 Logistics Corp,Richmond,IL,60071,Chicago,VBE,Hispanic/Latino,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload",5366 Logistics Corp,Richmond,IL,60071,Chicago,VBE,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload"
5366 Logistics Corp,Richmond,IL,"	60071",CMS,SDVOSB,Caucasian,Male,"NIGP 75077 Sand and Gravel ; NIGP 91371 Maintenance and Repair, Highway and Road (To include the removal of asphalt, concrete, bitumens, etc) ; NIGP 96239 Hauling Services ; NIGP 96256 Moving and Relocation Services ; NIGP 96712 Aggregate, Concrete or Stone Products (Including Clay, Refractory Materials and Tile Products); 745-10-00 Asphalt, Emulsified (With Latex/Polymer) ; 745-14-00 Asphaltic Concrete, Cold Laid ; 745-21-00 Asphaltic Concrete, Hot Laid Including Bituminous Materials ; 745-68-00 Recycled Asphalt and Asphalt Products; 545-26-60	PRESSURE WASHER, HOT WATER; Active NIGP 07519 Cleaning and Washing Equipment: Steam, Cold and Hot Water Pressure and Jet Types, Portable and Stationary (Also See 075-49); Active NIGP 77545 Road Maintenance Salt (See Class 192 for Ice Removal Chemicals); ; 91395 Paving/Resurfacing, Highway and Road  ; ",5366 Logistics Corp,Richmond,IL,60071,Chicago,VBE,Hispanic/Latino,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload",5366 Logistics Corp,Richmond,IL,60071,Chicago,VBE,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload"
5366 Logistics Corp,Richmond,IL,"	60071",CMS,PBE,Caucasian,Male,"NIGP 75077 Sand and Gravel ; NIGP 91371 Maintenance and Repair, Highway and Road (To include the removal of asphalt, concrete, bitumens, etc) ; NIGP 96239 Hauling Services ; NIGP 96256 Moving and Relocation Services ; NIGP 96712 Aggregate, Concrete or Stone Products (Including Clay, Refractory Materials and Tile Products); 745-10-00 Asphalt, Emulsified (With Latex/Polymer) ; 745-14-00 Asphaltic Concrete, Cold Laid ; 745-21-00 Asphaltic Concrete, Hot Laid Including Bituminous Materials ; 745-68-00 Recycled Asphalt and Asphalt Products; 545-26-60	PRESSURE WASHER, HOT WATER; Active NIGP 07519 Cleaning and Washing Equipment: Steam, Cold and Hot Water Pressure and Jet Types, Portable and Stationary (Also See 075-49); Active NIGP 77545 Road Maintenance Salt (See Class 192 for Ice Removal Chemicals); ; 91395 Paving/Resurfacing, Highway and Road  ; ",5366 Logistics Corp,Richmond,IL,60071,Chicago,BEPD,Hispanic/Latino,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload",5366 Logistics Corp,Richmond,IL,60071,Chicago,VBE,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload"
5366 Logistics Corp,Richmond,IL,"	60071",CMS,SDVOSB,Caucasian,Male,"NIGP 75077 Sand and Gravel ; NIGP 91371 Maintenance and Repair, Highway and Road (To include the removal of asphalt, concrete, bitumens, etc) ; NIGP 96239 Hauling Services ; NIGP 96256 Moving and Relocation Services ; NIGP 96712 Aggregate, Concrete or Stone Products (Including Clay, Refractory Materials and Tile Products); 745-10-00 Asphalt, Emulsified (With Latex/Polymer) ; 745-14-00 Asphaltic Concrete, Cold Laid ; 745-21-00 Asphaltic Concrete, Hot Laid Including Bituminous Materials ; 745-68-00 Recycled Asphalt and Asphalt Products; 545-26-60	PRESSURE WASHER, HOT WATER; Active NIGP 07519 Cleaning and Washing Equipment: Steam, Cold and Hot Water Pressure and Jet Types, Portable and Stationary (Also See 075-49); Active NIGP 77545 Road Maintenance Salt (See Class 192 for Ice Removal Chemicals); ; 91395 Paving/Resurfacing, Highway and Road  ; ",5366 Logistics Corp,Richmond,IL,60071,Chicago,BEPD,Hispanic/Latino,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload",5366 Logistics Corp,Richmond,IL,60071,Chicago,VBE,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload"
"8th Day Consulting, Training & Software",Oak Forest,IL,"	60452",CMS,WBE,Caucasian,Female,"EDUCATIONAL/TRAINING SERVICES,; Education and Training Consulting,,; Educational: eLearning,; Training, Computer Based (Software Supported),; Computer Software Consulting","8th Day Consulting, Training & Software",Oak Forest,IL,60452,Chicago,WBE,Caucasian,"NAICS 518210	Data capture imaging services; NAICS 518210	Optical scanning services ; NAICS 541511	Computer programming services, custom ; NAICS 541511	Software analysis and design services, custom computer ; NAICS 541512	Computer software consulting services or consultants ; NAICS 541519	Software installation services, computer ; NAICS 541611	Records management consulting services; NAICS 541611	Reorganizational consulting services ; NAICS 541690	Security consulting services ; NAICS 561410	Document preparation services ; NAICS 611420	Computer Training ; NAICS 611710	Educational support services","8th Day Consulting, Training & Software",Oak Forest,IL,60452,Chicago,WBE,"NAICS 518210	Data capture imaging services; NAICS 518210	Optical scanning services ; NAICS 541511	Computer programming services, custom ; NAICS 541511	Software analysis and design services, custom computer ; NAICS 541512	Computer software consulting services or consultants ; NAICS 541519	Software installation services, computer ; NAICS 541611	Records management consulting services; NAICS 541611	Reorganizational consulting services ; NAICS 541690	Security consulting services ; NAICS 561410	Document preparation services ; NAICS 611420	Computer Training ; NAICS 611710	Educational support services"
"A & D Property Services, Inc.",Chicago,IL,"	60649",CMS,MBE,African American,Male,"91000 BUILDING MAINTENANCE, INSTALLATION AND REPAIR SERVICES/CONSTRUCTION SERVICES; 95883	Real Estate Management Services, Including Listing, Sales And Broker Services","A & D Property Services, Inc.",Chicago,IL,60649,Chicago,MBE,African American,NAICS 531390 Other Activities Related to Real Estate  ; NAICS 561790 Other Services to Buildings and Dwellings  ; ; ,"A & D Property Services, Inc.",Chicago,IL,60649,Chicago,DBE,"LAND DEVELOPMENT AND SUB-DIVISION SERVICES;MAINTENANCE SERVICES, BUILDING (NOT OTHERWISE CLASSIFIED);Home Construction, Single Family"
"A & D Property Services, Inc.",Chicago,IL,"	60649",CMS,MBE,African American,Male,"91000 BUILDING MAINTENANCE, INSTALLATION AND REPAIR SERVICES/CONSTRUCTION SERVICES; 95883	Real Estate Management Services, Including Listing, Sales And Broker Services","A & D Property Services, Inc.",Chicago,IL,60649,Chicago,MBE,African American,NAICS 531390 Other Activities Related to Real Estate  ; NAICS 561790 Other Services to Buildings and Dwellings  ; ; ,"A & D Property Services, Inc.",Chicago,IL,60649,Chicago,MBE,NAICS 531390 Other Activities Related to Real Estate  ; NAICS 561790 Other Services to Buildings and Dwellings  ; ; 
"A & H Mechanical, Inc.",Chicago,IL,"	60619",CMS,MBE,African American,Male,"NIGP 91450 Heating, Ventilating and Air Conditioning (HVAC); NIGP 91468 Plumbing","A & H Mechanical, Inc.",Chicago,IL,60619,Chicago,MBE,African American,"Heating, ventilation and air-conditioning (HVAC) contractors ; Plumbing, Heating, and Air-Conditioning Contractors","A & H Mechanical, Inc.",Chicago,IL,60619,Chicago,MBE,"Heating, ventilation and air-conditioning (HVAC) contractors ; Plumbing, Heating, and Air-Conditioning Contractors"
A & L Environmental LLC,Chicago,IL,"	60619",CMS,MBE,African American,Female,"90924	Building Construction, Commercial and Institutional	; 91039	Janitorial and Custodial Services	; 91444	Flooring	; 92678	Remediation Services, Environmental, Including Rehabilitation Services Hazardous Waste and Mold Remediation	; 96102	Administrative Services, All Kinds	; 98852	Landscaping, Including Design, Fertilizing, Planting, etc., Not Grounds Maintenance or Tree Trimming Services",A & L Environmental LLC,Chicago,IL,60619,Chicago,MBE,African American,"236220 - Addition, Alteration and Renovation, For-sale Builders, Commercial and Institutional Building; 238330 - Floor Laying, Scraping, Finishing, and Refinishing; 561720 - Cleaning Homes; 561730 - Landscaping Services; 561990 - Flagging (i.e., traffic control) Services; 562910 - Remediation Services: Asbestos Abatement Services; Lead Paint Abatement Services; Mold Remediation Services  ; ",A & L Environmental LLC,Chicago,IL,60619,Chicago,DBE,"236220 - Addition, Alteration and Renovation, For-sale Builders, Commercial and Institutional Building; 238330 - Floor Laying, Scraping, Finishing, and Refinishing; 561720 - Cleaning Homes; 561730 - Landscaping Services; 561990 - Flagging (i.e., traffic control) Services; 562910 - Remediation Services: Asbestos Abatement Services; Lead Paint Abatement Services; Mold Remediation Services  ; "
